rsi,bu,bl,bu2,bl2,MA1,MA2,open1,close1,Low1,High1,resultado
58.85796,0.00272773,0.00167364,0.0036507,0,0.00122111,0.00157956,0.00229668,0.00229668,1.11377,1.11392,0
60.62275904,0.00260258,0.00154931,0.00347723,0,0.00110146,0.00146848,0.00224395,0.00224395,1.11383,1.114,0
61.02288005,0.00247854,0.00144886,0.00331073,0,0.00098823,0.00136343,0.0021277,0.0021277,1.11385,1.11396,1
54.46665111,0.00227003,0.00129764,0.00301834,0,0.00081057,0.00118891,0.00171184,0.00171184,1.11366,1.11396,1
53.62063886,0.00205047,0.00119676,0.00274323,0,0.0006466,0.00102701,0.00150061,0.00150061,1.11351,1.11379,1
51.60639982,0.00184773,0.00106906,0.00246479,0,0.00048491,0.00086562,0.0012534,0.0012534,1.11362,1.11372,0
57.71561836,0.00160921,0.0009016,0.00211414,0,0.00028208,0.00066764,0.0012804,0.0012804,1.11363,1.11388,0
59.89646468,0.00144225,0.00072627,0.00184585,0,0.00012669,0.00051845,0.00120326,0.00120326,1.11383,1.11403,1
58.59465424,0.00131093,0.00061655,0.00164481,0,0.00001269,0.00040921,0.00102874,0.00102874,1.11393,1.11413,0
60.66613265,0.00128935,0.00060194,0.00155612,0.00008684,0,0.00040244,0.00108414,0.00108414,1.11395,1.11423,1
59.24741629,0.00120227,0.00061666,0.00153095,0.00011199,0,0.00040693,0.00102347,0.00102347,1.1138,1.11403,0
63.60162779,0.00117825,0.00059263,0.0015468,0.00008874,0,0.00041453,0.00118944,0.00118944,1.11395,1.11418,0
67.70834714,0.001241,0.00051145,0.00158896,0.00005249,0,0.00042544,0.00137173,0.00137173,1.11413,1.11443,1
59.15200865,0.00124782,0.0004892,0.00156905,0.00007664,0,0.00043054,0.00109951,0.00109951,1.11407,1.11438,0
62.0446306,0.00126036,0.00044758,0.00153649,0.00012678,0,0.00043772,0.00121497,0.00121497,1.11408,1.11432,1
57.35797851,0.00126168,0.00043808,0.00149146,0.00017896,0,0.00044123,0.00104388,0.00104388,1.11408,1.11425,1
54.40738237,0.00124579,0.00045059,0.00144539,0.00022433,0,0.00044225,0.00092519,0.00092519,1.11397,1.11423,1
53.22787746,0.00122364,0.00046868,0.00143112,0.00021221,0,0.00044209,0.00086766,0.00086766,1.1139,1.11406,0
53.22787746,0.00120413,0.00047883,0.00140436,0.0002266,0,0.0004416,0.00085048,0.00085048,1.11392,1.11402,1
51.60598746,0.00118892,0.00046734,0.00137927,0.00023599,0,0.00043982,0.00078463,0.00078463,1.11393,1.11412,1
51.26950991,0.00117302,0.00046156,0.00132001,0.0002399,0,0.00043761,0.00075929,0.00075929,1.1139,1.11397,1
48.22211032,0.00116033,0.00043874,0.001283,0.00022774,0,0.00043344,0.00065604,0.00065604,1.11382,1.11397,0
54.67013686,0.00114834,0.00042583,0.00126774,0.00021043,0,0.00043306,0.00083909,0.00083909,1.11383,1.11409,1
52.89662094,0.0011258,0.00044312,0.00125501,0.00020125,0,0.0004314,0.00077346,0.00077346,1.11395,1.11407,1
47.57770549,0.00110142,0.00045621,0.00123246,0.00018283,0,0.00042639,0.00060131,0.00060131,1.11376,1.11399,0
51.21001795,0.00105504,0.00050541,0.001217,0.00018012,0,0.00042348,0.00069723,0.00069723,1.11378,1.11393,1
48.88854144,0.0010432,0.00049142,0.00119317,0.00019111,0,0.00041905,0.00061481,0.00061481,1.11383,1.11392,1
48.88854144,0.00103298,0.00046629,0.00116695,0.00020564,0,0.00041455,0.00060263,0.00060263,1.11381,1.11393,0
51.44150128,0.00101966,0.00045297,0.00114547,0.00021383,0,0.00041135,0.00065931,0.00065931,1.11385,1.11393,1
47.77059731,0.00100926,0.00042222,0.00113576,0.00019805,0,0.00040608,0.00054824,0.00054824,1.11382,1.11399,0
51.52459068,0.00096074,0.00039028,0.00110934,0.00018068,0,0.0003991,0.00062301,0.00062301,1.1139,1.11398,1
45.50215937,0.0008705,0.00040119,0.00110474,0.00015562,0,0.00039244,0.00045384,0.00045384,1.11371,1.11402,1
43.12712161,0.00085083,0.00036266,0.00109945,0.00014437,0,0.0003845,0.00037624,0.00037624,1.11368,1.11378,0
44.46498961,0.00077578,0.00036761,0.00108676,0.00014364,0,0.00037731,0.0003982,0.0003982,1.11365,1.11376,0
46.27954877,0.00073158,0.00035947,0.00105814,0.00016491,0,0.00037102,0.00042952,0.00042952,1.11371,1.11378,1
45.08960443,0.00070936,0.00033786,0.00105836,0.00014019,0,0.00036422,0.00039161,0.00039161,1.11362,1.11382,1
44.27233846,0.00069329,0.00031321,0.00105849,0.00010868,0,0.00035716,0.00036425,0.00036425,1.11367,1.11378,1
44.27233846,0.00067376,0.00029231,0.00105876,0.00007998,0,0.00035022,0.00035704,0.00035704,1.11367,1.11377,1
38.24300109,0.00068208,0.0002398,0.00107425,0.00002629,0,0.00034051,0.00020294,0.00020294,1.11357,1.11376,0
40.00287771,0.00069488,0.00021914,0.00109935,0,0.00001668,0.00034836,0.00024501,0.00024501,1.11357,1.11371,0
41.78929767,0.00071422,0.00021324,0.0010968,0,0.00003852,0.0003622,0.00029173,0.00029173,1.1136,1.11366,0
44.74240063,0.00063919,0.000174,0.00097086,0,0.00000489,0.00032176,0.00030209,0.00030209,1.11357,1.1137,0
45.33965971,0.00060956,0.00017413,0.00094103,0,0.00001072,0.00032114,0.00031185,0.00031185,1.11361,1.1137,0
47.18400467,0.00058705,0.00015208,0.00084729,0.00002251,0,0.00030467,0.00032457,0.00032457,1.11362,1.11378,1
44.48960624,0.00055846,0.0001438,0.00080251,0.00002641,0,0.00029805,0.00026913,0.00026913,1.11366,1.11373,0
45.16405204,0.00053998,0.00013322,0.0007749,0.0000203,0,0.00029178,0.0002736,0.0002736,1.11366,1.11375,1
39.03500549,0.00053498,0.00011344,0.00077242,0,0.00000565,0.00028897,0.00015621,0.00015621,1.11354,1.11368,1
33.69955625,0.00057568,0.0001217,0.00083471,0,0.00005553,0.00032814,0.00007569,0.00007569,1.11337,1.11358,0
42.87843615,0.00055158,0.00014247,0.00084471,0,0.00009034,0.00034821,0.00024402,0.00024402,1.11354,1.11358,0
43.50605799,0.00051546,0.00017405,0.00085851,0,0.00010882,0.00035975,0.00026926,0.00026926,1.11356,1.11358,1
41.53994466,0.00050026,0.0001617,0.00082129,0,0.00010892,0.00035235,0.00022698,0.00022698,1.11354,1.11359,1
33.40996407,0.00057103,0.00014575,0.00086944,0,0.00015271,0.000385,0.00007239,0.00007239,1.11333,1.11354,1
31.11465431,0.00066418,0.00014927,0.00097545,0,0.00022107,0.00044134,0.00007373,0.00007373,1.11327,1.11342,0
38.86820027,0.00067209,0.00014927,0.00098536,0,0.00024349,0.00045458,0.00021668,0.00021668,1.11327,1.11341,1
37.35871499,0.00069422,0.00015423,0.00101745,0,0.00027521,0.00047673,0.00020972,0.00020972,1.11329,1.11353,0
46.33630375,0.00067786,0.0001555,0.00100003,0,0.00028004,0.00047549,0.00037268,0.00037268,1.11317,1.11351,0
51.0052728,0.00064355,0.00013713,0.00091802,0,0.00026444,0.00045231,0.00044934,0.00044934,1.11352,1.11387,0
51.0052728,0.00062323,0.00011596,0.00085486,0,0.00024686,0.00043095,0.0004281,0.0004281,1.11337,1.11379,1
47.90371331,0.00059108,0.00008894,0.00077836,0,0.00022368,0.0004029,0.00034251,0.00034251,1.11353,1.11364,0
56.05706943,0.00059374,0.00008204,0.00076677,0,0.00022527,0.00040307,0.00050839,0.00050839,1.11355,1.11373,1
49.22462847,0.00058009,0.0000838,0.00075789,0,0.00022767,0.00040127,0.00036795,0.00036795,1.11349,1.11381,1
46.19299753,0.00055793,0.00008816,0.00074643,0,0.00023066,0.00039882,0.00029955,0.00029955,1.11351,1.11367,0
48.157822,0.00053657,0.00008334,0.00071758,0,0.00022572,0.0003894,0.00033245,0.00033245,1.11351,1.11357,0
51.49582565,0.00052014,0.00008024,0.00069605,0,0.00022246,0.00038315,0.00039569,0.00039569,1.11352,1.11365,1
50.00966615,0.00051769,0.00007508,0.00067677,0,0.00021999,0.00037716,0.00036038,0.00036038,1.11353,1.11365,1
45.31505784,0.00051623,0.00008101,0.00065991,0,0.00022002,0.00037182,0.00025962,0.00025962,1.11348,1.11361,0
48.44239073,0.00051439,0.00008119,0.00065991,0,0.00022266,0.00037044,0.00032029,0.00032029,1.11349,1.11359,1
46.07756411,0.00051435,0.00008235,0.00066136,0,0.00022766,0.00037057,0.00027435,0.00027435,1.11349,1.11351,0
49.77425267,0.00051293,0.00008188,0.00065648,0,0.00022953,0.0003691,0.00034391,0.00034391,1.1135,1.11358,0
50.81183044,0.00051346,0.00007869,0.00064282,0,0.00022836,0.00036507,0.00036008,0.00036008,1.11355,1.1136,1
45.27228601,0.00050411,0.0001013,0.00062808,0,0.00022843,0.00036019,0.00024971,0.00024971,1.11347,1.1136,0
49.57769022,0.00046849,0.00014578,0.00059726,0,0.00022036,0.00034892,0.00031963,0.00031963,1.11348,1.11356,1
48.54940121,0.00045436,0.0001655,0.00057919,0,0.00021722,0.00034228,0.00029493,0.00029493,1.11354,1.1136,0
50.21735054,0.00042351,0.00020427,0.00055778,0,0.00021232,0.00033456,0.00031789,0.00031789,1.11354,1.11357,1
49.63967395,0.00042303,0.00020976,0.00055778,0,0.00021421,0.00033352,0.00030789,0.00030789,1.11356,1.11362,1
47.29598526,0.00040865,0.00019689,0.00054654,0,0.00020665,0.00032232,0.00025927,0.00025927,1.11352,1.11358,1
45.55863396,0.00040776,0.00019129,0.00054604,0,0.00020985,0.00032143,0.00023202,0.00023202,1.11346,1.11351,1
40.72543137,0.00042787,0.0001774,0.00056194,0,0.00022212,0.000328,0.00015564,0.00015564,1.1133,1.1135,0
57.07313912,0.00046213,0.00017831,0.00059011,0,0.00023683,0.00034309,0.00046572,0.00046572,1.11335,1.1137,0
59.48011294,0.00049195,0.00018803,0.00064031,0,0.00026032,0.00036802,0.00054349,0.00054349,1.11367,1.11377,1
