open,high,low,close,from,to,volume,ask,bid,ema_30_60,ema_100_60,ema_30_300,ema_100_300,rsi_60,rsi_300,rsi_900,mood_forex,color,signal
109.333,109.344,109.328,109.343,1586541600,1586541900,851,109.358,109.328,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.425,1586541600,1586541900,852,109.357,109.328,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,1
109.333,109.344,109.328,1.093.405,1586541600,1586541900,857,109.357,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,109.342,1586541600,1586541900,860,109.356,109.328,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.415,1586541600,1586541900,864,109.355,109.328,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,10.934,1586541600,1586541900,865,109.355,109.325,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.395,1586541600,1586541900,869,109.354,109.325,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
109.333,109.344,109.328,10.934,1586541600,1586541900,873,109.352,109.328,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,109.341,1586541600,1586541900,876,109.358,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,0
109.333,109.344,109.328,109.342,1586541600,1586541900,877,10.936,109.324,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,0,1
109.333,109.344,109.328,1.093.395,1586541600,1586541900,881,109.351,109.328,1.093.665,1.094.211,1.094.338,1.094.415,33.179.337,1.487.877,0.710322,0.5,1,0
